HasPart(AdvancedArchitecture, Karnak).
HasPart(StellarNucleosynthesis, IronPeakAndSupernovae).
HasPart(StellarNucleosynthesis, NeonBurning).
HasPart(StellarNucleosynthesis, NeutronCapture).
HasPart(StellarNucleosynthesis, OxygenBurning).
HasPart(StellarNucleosynthesis, RProcess).
HasPart(StellarNucleosynthesis, SProcess).
HasPart(StellarNucleosynthesis, SiliconBurning).
HasPart(StellarNucleosynthesis, StellarContribution).
HasPart(StellarNucleosynthesis, StellarContributions).
HasPart(StellarNucleosynthesis, StellarRecycling).
HasPart(StellarNucleosynthesis, SupernovaNucleosynthesis).
HasPart(StellarNucleosynthesis, Supernovae).
HasPart(Strand, FivePrimeEnd).
HasPart(Strand, ThreePrimeEnd).
HasPart(SupernovaExplosion, Gold).
HasPart(SupernovaExplosion, RProcess).
HasPart(SupernovaExplosion, RapidNeutronCapture).
HasPart(SupernovaExplosion, Uranium).
HasPart(SupernovaNucleosynthesis, Iron).
HasPart(SupernovaNucleosynthesis, RapidNeutronCapture).
HasPart(SupernovaNucleosynthesis, SiliconBurning).
HasPart(Supernovae, RapidNeutronCapture).
HasPart(Supernovae, RapidProcess).
HasPart(Supernovae, SlowNeutronCapture).
HasPart(Supernovae, SlowProcess).
HasPart(SupernovaeTypeIi, RapidNeutronCapture).
HasPart(SupervisedLearning, Classification).
HasPart(SupervisedLearning, Regression).
HasPart(Synapses, Neurotransmitters).
HasPart(TectonicPlates, NorthAmericanPlate).
HasPart(TectonicPlates, PacificPlate).
HasPart(ThirdEstate, NationalAssembly).
HasPart(ThreeCritiques, CritiqueOfJudgment).
HasPart(ThreeCritiques, CritiqueOfPracticalReason).
HasPart(ThreeCritiques, CritiqueOfPureReason).
HasPart(ThreeEstates, ThirdEstate).
HasPart(Trade, Gold).
HasPart(Trade, Grain).
HasPart(Trade, Papyrus).
HasPart(TrainingProcess, ErrorMinimization).
HasPart(TrainingProcess, GradientDescent).
HasPart(TrainingProcess, ParameterAdjustment).
HasPart(TrainingProcess, TestSet).
HasPart(TrainingProcess, TestingPhase).
HasPart(TrainingProcess, TrainingPhase).
HasPart(TrainingProcess, TrainingSet).
HasPart(TrainingProcess, Underfitting).
HasPart(TrainingProcess, ValidationPhase).
HasPart(TrainingProcess, ValidationSet).
HasPart(TranscendentalIdealism, Noumena).
HasPart(TranscendentalIdealism, Phenomena).
HasPart(Transform, SanAndreasFault).
HasPart(UnsupervisedLearning, Clustering).
HasPart(UnsupervisedLearning, DimensionalityReduction).
HasPart(UnsupervisedLearning, UnlabeledData).
HasPart(Verticality, SlenderColumns).
HasPart(Verticality, ToweringSpire).
HasPart(X, Y).
