HasPurpose(AbolitionOfFeudalism, EliminatePrivileges).
HasPurpose(RiseOfNapoleon, EstablishingDictatorship).
HasPurpose(RiseOfNapoleon, PavedTheWayForDictatorship).
HasPurpose(RiseOfNationalism, InspiredMovements).
HasPurpose(RockFormations, SupportContinentalDrift).
HasPurpose(RosettaStone, DecipherHieroglyphs).
HasPurpose(RosettaStone, DecodeHieroglyphics).
HasPurpose(RosettaStone, DecodeHieroglyphs).
HasPurpose(RosettaStone, Decoding).
HasPurpose(SalienceNetwork, StimuliDetection).
HasPurpose(Scalability, HandleLargeDatasets).
HasPurpose(Scribes, RecordKeeping).
HasPurpose(Sculptures, ReligiousInstruction).
HasPurpose(SeafloorSpreading, SupportContinentalDrift).
HasPurpose(Secularization, ChurchLandsSeized).
HasPurpose(Secularization, SeparateReligionFromState).
HasPurpose(SendEnvoy, FosterTrade).
HasPurpose(Serotonin, Mood).
HasPurpose(ShortTermFocus, ImmediateEconomicStabilization).
HasPurpose(SilkRoad, CulturalExchange).
HasPurpose(SilkRoad, Diplomacy).
HasPurpose(SilkRoad, EnableCulturalExchange).
HasPurpose(SilkRoad, ExchangeOfGoods).
HasPurpose(SilkRoad, ExchangeOfTechnologies).
HasPurpose(SilkRoad, FacilitateTrade).
HasPurpose(SilkRoad, HandelVonWaren).
HasPurpose(SilkRoad, LayFoundations).
HasPurpose(SilkRoad, LayFoundationsForGlobalization).
HasPurpose(SilkRoad, ShapingCulture).
HasPurpose(SilkRoad, ShapingGlobalCommerce).
HasPurpose(SilkRoad, ShapingHistory).
HasPurpose(SilkRoad, SpreadIdeas).
HasPurpose(SilkRoad, SpreadReligions).
HasPurpose(SilkRoad, SpreadTechnologies).
HasPurpose(SilkRoad, Trade).
HasPurpose(SilkRoad, TradeGoods).
HasPurpose(SilkRoad, VerbindenOstUndWest).
HasPurpose(SilkRoad, VerbindenVonOstUndWest).
HasPurpose(SlabPull, PlateMovement).
HasPurpose(SoilEnrichment, SurplusCrops).
HasPurpose(SpecializedNetworks, Memory).
HasPurpose(SpecializedNetworks, MotorControl).
HasPurpose(SpecializedNetworks, SensoryProcessing).
HasPurpose(SpreadOfRevolutionaryIdeas, DemocracyWorldwide).
HasPurpose(SpreadOfRevolutionaryIdeas, InspiredNationalism).
HasPurpose(StainedGlass, BiblicalScenes).
HasPurpose(StainedGlass, BiblicalScenesDepiction).
HasPurpose(StainedGlass, BiblicalStories).
HasPurpose(StainedGlass, BiblicalStoriesDepiction).
HasPurpose(StainedGlass, ColoredLight).
HasPurpose(StainedGlass, DepictBiblicalScenes).
HasPurpose(StainedGlass, DepictedBiblicalStories).
HasPurpose(StainedGlass, DivinePresence).
HasPurpose(StainedGlass, DivinePresenceSymbolism).
HasPurpose(StainedGlass, FloodedInteriorsWithLight).
HasPurpose(StainedGlass, FloodingInteriorsWithLight).
HasPurpose(StainedGlass, InteriorLight).
HasPurpose(StainedGlass, InteriorLightFlooding).
HasPurpose(StainedGlass, SymbolizingDivinePresence).
HasPurpose(StainedGlass, VividWindows).
HasPurpose(StainedGlassWindows, BiblicalScenes).
HasPurpose(StainedGlassWindows, DepictBiblicalScenes).
HasPurpose(StainedGlassWindows, FloodInteriorsWithLight).
HasPurpose(Stars, FuseLightElements).
HasPurpose(StellarContribution, EnrichInterstellarMedium).
HasPurpose(StellarContribution, VerteilenSynthetisierterElemente).
HasPurpose(StellarContribution, VerteilungVonElementen).
HasPurpose(StellarContributions, AnreicherungInterstellarMedium).
HasPurpose(StellarNucleosynthesis, ChemicalEvolutionOfGalaxies).
HasPurpose(StellarNucleosynthesis, ElementOrigin).
HasPurpose(StellarNucleosynthesis, EnablingPlanetAndLifeFormation).
HasPurpose(StellarNucleosynthesis, ErklaerungDesUrsprungsDerMeistenElemente).
HasPurpose(StellarNucleosynthesis, ExplainsOriginOfMostElements).
HasPurpose(StellarNucleosynthesis, OriginOfMostElements).
HasPurpose(StellarNucleosynthesis, ProduzierenNeuerAtomkerne).
HasPurpose(StellarNucleosynthesis, ProduzierenSchwererElemente).
HasPurpose(StellarNucleosynthesis, VersorgenUniversumMitElementen).
HasPurpose(StellarRecycling, EnrichInterstellarGas).
HasPurpose(StimulusPackages, CrisisResponse).
HasPurpose(StormingOfTheBastille, MarkStartOfRevolution).
HasPurpose(StormingOfTheBastille, SymbolicUprising).
HasPurpose(StormingOfTheBastille, UprisingAgainstRoyalTyranny).
HasPurpose(SupernovaExplosion, CreateHeavierElements).
HasPurpose(SupernovaNucleosynthesis, ErzeugenSeltenerIsotope).
HasPurpose(SupernovaNucleosynthesis, ProduzierenSchwererElemente).
HasPurpose(SupernovaNucleosynthesis, VerteilenElemente).
HasPurpose(Supernovae, DisperseHeavyElements).
HasPurpose(SupervisedLearning, LearnFromLabeledData).
HasPurpose(SupervisedLearning, MakePredictions).
HasPurpose(Synapses, Communication).
HasPurpose(Synapses, InformationProcessing).
HasPurpose(Synapses, RelaySignals).
HasPurpose(Synapses, SignalPassing).
HasPurpose(Synapses, SignalRelay).
HasPurpose(Synapses, SignalTransmission).
HasPurpose(SynapticPlasticity, Learning).
HasPurpose(SynapticPlasticity, Memory).
HasPurpose(SynapticPlasticity, MemoryFormation).
HasPurpose(SynapticPlasticity, RecoveryFromInjury).
HasPurpose(TaxCuts, BoostDemand).
HasPurpose(TennisCourtOath, DraftConstitution).
HasPurpose(TheodosianWalls, DefensiveWars).
HasPurpose(TheodosianWalls, ProtectConstantinople).
HasPurpose(TransformBoundary, SanAndreasFault).
HasPurpose(UnsupervisedLearning, IdentifyPatterns).
HasPurpose(Verticality, HeavenlyAscent).
HasPurpose(Verticality, HeavenlyAspiration).
HasPurpose(Verticality, HeavenlyAspirations).
HasPurpose(Verticality, InspireAwe).
HasPurpose(VisualCortex, Sight).
HasPurpose(ZhangQian, FosterTradeRelations).
